pid,trial_index,stimulus_song,target_song,emotion,arousal,valence,correct
0,0,audio/4_Make_Light.mp3,happy,happy,5,5,TRUE
0,1,audio/24_Restless.mp3,happy,none of these,4,4,FALSE
0,2,audio/5_Love's_Requiem.mp3,sad,,4,4,FALSE
0,3,audio/4_Destiny.mp3,relaxed,happy,5,5,FALSE
0,4,audio/13_Boser_Wolf.mp3,sad,none of these,4,4,FALSE
0,5,audio/4_Mbube.mp3,relaxed,happy,5,5,FALSE
0,6,audio/9_Pain_(Live_Version).mp3,angry,angry,4,3,TRUE
0,7,audio/2_Inside.mp3,sad,relaxed,3,6,FALSE
0,8,audio/12_Skank_Down.mp3,happy,happy,4,4,TRUE
0,9,audio/5_Get_Lucky.mp3,happy,relaxed,5,5,FALSE
0,10,audio/2_Love's_Requiem.mp3,sad,relaxed,4,4,FALSE
0,11,audio/12_Fire_And_Rain_(LP_Version).mp3,sad,relaxed,4,4,FALSE
0,12,audio/26_Make_Light.mp3,happy,happy,6,4,TRUE
0,13,audio/15_Bunkertor_7_(German_Texture).mp3,angry,angry,4,3,TRUE
0,14,audio/2_Blood_On_The_Ground.mp3,angry,none of these,4,4,FALSE
0,15,audio/15_Here_Today.mp3,sad,relaxed,4,4,FALSE
0,16,audio/8_Fire_And_Rain__(LP_Version).mp3,sad,relaxed,4,4,FALSE
0,17,audio/16_Restless.mp3,happy,happy,5,4,TRUE
0,18,audio/1_Skinny_Love.mp3,sad,relaxed,4,4,FALSE
0,19,audio/1_Be_Happy.mp3,happy,happy,5,4,TRUE
0,20,audio/2_Sweet_Song.mp3,relaxed,relaxed,4,4,TRUE
0,21,audio/23_Inside.mp3,sad,relaxed,4,4,FALSE
0,22,audio/28_Valerie.mp3,happy,happy,5,4,TRUE
0,23,audio/3_Walk_on_the_wild_side.mp3,relaxed,relaxed,4,4,TRUE
0,24,audio/2_Boser_Wolf.mp3,sad,none of these,4,4,FALSE
0,25,audio/12_Skinny_Love.mp3,sad,sad,3,4,TRUE
0,26,audio/2_Incomplete.mp3,angry,angry,5,3,TRUE
0,27,audio/21_Skank_Down.mp3,happy,none of these,4,4,FALSE
0,28,audio/25_Old_Blacktop.mp3,sad,relaxed,4,4,FALSE
0,29,audio/26_It_Only_Hurts_When_I'm_Breathing.mp3,sad,relaxed,4,4,FALSE
0,30,audio/1_The_Sweetest.mp3,relaxed,none of these,4,4,FALSE
0,31,audio/11_Be_Happy.mp3,happy,happy,5,4,TRUE
0,32,audio/4_Come_On_Baby.mp3,relaxed,sad,4,4,FALSE
0,33,audio/7_Digital.mp3,relaxed,sad,4,4,FALSE
0,34,audio/8_Restless.mp3,happy,happy,5,4,TRUE
0,35,audio/3_Old_Blacktop.mp3,sad,relaxed,4,4,FALSE
0,36,audio/13_Motown_Junk.mp3,angry,none of these,5,4,FALSE
0,37,audio/14_Get_Lucky.mp3,happy,happy,5,4,TRUE
0,38,audio/2_On_A_Slow_Boat_To_China.mp3,relaxed,none of these,4,4,FALSE
0,39,audio/7_Here_Today.mp3,sad,none of these,4,4,FALSE
0,40,audio/5_Valerie.mp3,happy,happy,6,4,TRUE
0,41,audio/3_It_Only_Hurts_When_I'm_Breathing.mp3,sad,none of these,4,4,FALSE
1,0,audio/2_Blood_On_The_Ground.mp3,angry,angry,7,3,TRUE
1,1,audio/2_Sweet_Song.mp3,relaxed,relaxed,6,6,TRUE
1,2,audio/5_Get_Lucky.mp3,happy,happy,4,7,TRUE
1,3,audio/15_Here_Today.mp3,sad,relaxed,3,6,FALSE
1,4,audio/26_It_Only_Hurts_When_I'm_Breathing.mp3,sad,none of these,5,5,FALSE
1,5,audio/23_Inside.mp3,sad,none of these,6,5,FALSE
1,6,audio/13_Motown_Junk.mp3,angry,none of these,7,5,FALSE
1,7,audio/2_Incomplete.mp3,angry,angry,7,4,TRUE
1,8,audio/16_Restless.mp3,happy,happy,7,6,TRUE
1,9,audio/14_Get_Lucky.mp3,happy,happy,7,7,TRUE
1,10,audio/12_Fire_And_Rain_(LP_Version).mp3,sad,none of these,6,4,FALSE
1,11,audio/28_Valerie.mp3,happy,happy,7,7,TRUE
1,12,audio/3_Old_Blacktop.mp3,sad,relaxed,6,5,FALSE
1,13,audio/8_Restless.mp3,happy,happy,6,6,TRUE
1,14,audio/8_Fire_And_Rain__(LP_Version).mp3,sad,none of these,5,4,FALSE
1,15,audio/11_Be_Happy.mp3,happy,happy,6,6,TRUE
1,16,audio/5_Valerie.mp3,happy,happy,6,6,TRUE
1,17,audio/25_Old_Blacktop.mp3,sad,relaxed,5,5,FALSE
1,18,audio/1_Be_Happy.mp3,happy,happy,5,5,TRUE
1,19,audio/3_Walk_on_the_wild_side.mp3,relaxed,none of these,5,5,FALSE
1,20,audio/9_Pain_(Live_Version).mp3,angry,angry,7,1,TRUE
1,21,audio/24_Restless.mp3,happy,happy,7,7,TRUE
1,22,audio/21_Skank_Down.mp3,happy,happy,7,7,TRUE
1,23,audio/2_Love's_Requiem.mp3,sad,relaxed,4,5,FALSE
1,24,audio/4_Come_On_Baby.mp3,relaxed,none of these,4,4,FALSE
1,25,audio/4_Destiny.mp3,relaxed,relaxed,5,5,TRUE
1,26,audio/7_Digital.mp3,relaxed,relaxed,6,6,TRUE
1,27,audio/2_Inside.mp3,sad,none of these,6,5,FALSE
1,28,audio/1_Skinny_Love.mp3,sad,sad,4,5,TRUE
1,29,audio/3_It_Only_Hurts_When_I'm_Breathing.mp3,sad,none of these,5,5,FALSE
1,30,audio/7_Here_Today.mp3,sad,none of these,4,4,FALSE
1,31,audio/2_Boser_Wolf.mp3,sad,happy,6,5,FALSE
1,32,audio/15_Bunkertor_7_(German_Texture).mp3,angry,angry,7,1,TRUE
1,33,audio/5_Love's_Requiem.mp3,sad,sad,5,6,TRUE
1,34,audio/12_Skinny_Love.mp3,sad,sad,6,3,TRUE
1,35,audio/26_Make_Light.mp3,happy,happy,6,7,TRUE
1,36,audio/1_The_Sweetest.mp3,relaxed,relaxed,5,6,TRUE
1,37,audio/13_Boser_Wolf.mp3,sad,none of these,5,6,FALSE
1,38,audio/4_Make_Light.mp3,happy,happy,6,5,TRUE
1,39,audio/2_On_A_Slow_Boat_To_China.mp3,relaxed,none of these,5,5,FALSE
1,40,audio/4_Mbube.mp3,relaxed,happy,5,5,FALSE
1,41,audio/12_Skank_Down.mp3,happy,happy,6,7,TRUE
2,0,audio/2_On_A_Slow_Boat_To_China.mp3,relaxed,happy,6,6,FALSE
2,1,audio/15_Bunkertor_7_(German_Texture).mp3,angry,angry,6,2,TRUE
2,2,audio/1_The_Sweetest.mp3,relaxed,relaxed,4,5,TRUE
2,3,audio/1_Be_Happy.mp3,happy,relaxed,4,4,FALSE
2,4,audio/4_Destiny.mp3,relaxed,happy,6,6,FALSE
2,5,audio/1_Skinny_Love.mp3,sad,sad,4,5,TRUE
2,6,audio/12_Fire_And_Rain_(LP_Version).mp3,sad,sad,5,3,TRUE
